num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
12,M20PI_n1.mtx,PSEUDOBLOCK_CG,ILUT,error,0.00419593,,
12,M20PI_n1.mtx,PSEUDOBLOCK_CG,RILUK,error,0.000733852,,
12,M20PI_n1.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0.000483036,,
12,M20PI_n1.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0.00215888,,
12,M20PI_n1.mtx,PSEUDOBLOCK_CG,NONE,error,0.00041008,,
12,M20PI_n1.mtx,PSEUDOBLOCK_STOCHASTIC_CG,ILUT,error,0.000821114,,
12,M20PI_n1.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RILUK,error,0.000789881,,
12,M20PI_n1.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RELAXATION,error,0.00050211,,
12,M20PI_n1.mtx,PSEUDOBLOCK_STOCHASTIC_CG,CHEBYSHEV,error,0.00124717,,
12,M20PI_n1.mtx,PSEUDOBLOCK_STOCHASTIC_CG,NONE,error,0.000683069,,
12,M20PI_n1.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0.006145,,
12,M20PI_n1.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0.012038,,
12,M20PI_n1.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,error,0.0124209,,
12,M20PI_n1.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.71924,10000,141.379
12,M20PI_n1.mtx,PSEUDOBLOCK_TFQMR,NONE,unconverged,3.22886,10000,140.149
12,M20PI_n1.mtx,TFQMR,ILUT,error,0.00264001,,
12,M20PI_n1.mtx,TFQMR,RILUK,error,0.000980854,,
12,M20PI_n1.mtx,TFQMR,RELAXATION,error,0.000720978,,
12,M20PI_n1.mtx,TFQMR,CHEBYSHEV,unconverged,1.97683,10000,141.386
12,M20PI_n1.mtx,TFQMR,NONE,unconverged,1.49533,10000,140.149
12,M20PI_n1.mtx,LSQR,ILUT,unconverged,1.65998,10000,
12,M20PI_n1.mtx,LSQR,RILUK,unconverged,1.6727,10000,
12,M20PI_n1.mtx,LSQR,RELAXATION,unconverged,1.30634,10000,
12,M20PI_n1.mtx,LSQR,CHEBYSHEV,unconverged,2.33827,10000,
12,M20PI_n1.mtx,LSQR,NONE,converged,0.390152,2812,
12,M20PI_n1.mtx,PSEUDOBLOCK_GMRES,ILUT,error,0.00519395,,
12,M20PI_n1.mtx,PSEUDOBLOCK_GMRES,RILUK,error,0.000961781,,
12,M20PI_n1.mtx,PSEUDOBLOCK_GMRES,RELAXATION,error,0.000727892,,
12,M20PI_n1.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,0.00868583,10,0
12,M20PI_n1.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,2.1253,6300,0.305577
12,S20PI_n1.mtx,FIXED_POINT,ILUT,error,0.00641918,,
12,S20PI_n1.mtx,FIXED_POINT,RILUK,error,0.00100803,,
12,S20PI_n1.mtx,FIXED_POINT,RELAXATION,error,0.000684023,,
12,S20PI_n1.mtx,FIXED_POINT,CHEBYSHEV,error,0.0104048,,
12,S20PI_n1.mtx,FIXED_POINT,NONE,error,0.0438349,,
