2,M20PI_n1.mtx, PSEUDOBLOCK CG, NONE, error,0.000371933,,
2,M20PI_n1.mtx, PSEUDOBLOCK STOCHASTIC CG, ILUT, error,0.00175691,,
2,M20PI_n1.mtx, PSEUDOBLOCK STOCHASTIC CG, RILUK, error,0.00132298,,
2,M20PI_n1.mtx, PSEUDOBLOCK STOCHASTIC CG, RELAXATION, error,0.000500917,,
2,M20PI_n1.mtx, PSEUDOBLOCK STOCHASTIC CG, CHEBYSHEV, error,0.00188804,,
2,M20PI_n1.mtx, PSEUDOBLOCK STOCHASTIC CG, NONE, error,0.000400782,,
2,M20PI_n1.mtx, PSEUDOBLOCK TFQMR, ILUT, error,0.00211501,,
2,M20PI_n1.mtx, PSEUDOBLOCK TFQMR, RILUK, error,0.00169706,,
2,M20PI_n1.mtx, PSEUDOBLOCK TFQMR, RELAXATION, error,0.000850916,,
2,M20PI_n1.mtx, PSEUDOBLOCK TFQMR, CHEBYSHEV, unconverged,3.47757,10000,141.373
2,M20PI_n1.mtx, PSEUDOBLOCK TFQMR, NONE, unconverged,2.95302,10000,140.141
2,M20PI_n1.mtx, TFQMR, ILUT, error,0.00193501,,
2,M20PI_n1.mtx, TFQMR, RILUK, error,0.00154305,,
2,M20PI_n1.mtx, TFQMR, RELAXATION, error,0.000748873,,
2,M20PI_n1.mtx, TFQMR, CHEBYSHEV, unconverged,1.84951,10000,141.425
2,M20PI_n1.mtx, TFQMR, NONE, unconverged,1.34862,10000,140.141
2,M20PI_n1.mtx, LSQR, ILUT, unconverged,1.67079,10000, 
2,M20PI_n1.mtx, LSQR, RILUK, unconverged,1.65016,10000, 
2,M20PI_n1.mtx, LSQR, RELAXATION, unconverged,1.19218,10000, 
2,M20PI_n1.mtx, LSQR, CHEBYSHEV, converged,0.979875,3446, 
2,M20PI_n1.mtx, LSQR, NONE, converged,0.389564,3056, 
2,M20PI_n1.mtx, PSEUDOBLOCK GMRES, ILUT, error,0.00209689,,
2,M20PI_n1.mtx, PSEUDOBLOCK GMRES, RILUK, error,0.00147104,,
2,M20PI_n1.mtx, PSEUDOBLOCK GMRES, RELAXATION, error,0.000674963,,
2,M20PI_n1.mtx, PSEUDOBLOCK GMRES, CHEBYSHEV, unconverged,0.00478005,10,0
2,M20PI_n1.mtx, PSEUDOBLOCK GMRES, NONE, unconverged,2.39559,6300,0.305577
2,S20PI_n1.mtx, FIXED POINT, ILUT, error,0.00292015,,
2,S20PI_n1.mtx, FIXED POINT, RILUK, error,0.00136995,,
2,S20PI_n1.mtx, FIXED POINT, RELAXATION, error,0.000451088,,
2,S20PI_n1.mtx, FIXED POINT, CHEBYSHEV, error,0.00667286,,
2,S20PI_n1.mtx, FIXED POINT, NONE, error,0.039691,,
2,S20PI_n1.mtx, BICGSTAB, ILUT, error,0.00214386,,
2,S20PI_n1.mtx, BICGSTAB, RILUK, error,0.00166893,,
2,S20PI_n1.mtx, BICGSTAB, RELAXATION, error,0.000782967,,
2,S20PI_n1.mtx, BICGSTAB, CHEBYSHEV, unconverged,3.09732,10000,1.25E+06
2,S20PI_n1.mtx, BICGSTAB, NONE, error,0.0115411,,
2,S20PI_n1.mtx, MINRES, ILUT, unconverged,0.729351,10000,0.922212
2,S20PI_n1.mtx, MINRES, RILUK, unconverged,0.716054,10000,0.922212
2,S20PI_n1.mtx, MINRES, RELAXATION, unconverged,0.720113,10000,0.922212
