,np,matrix,matrix_id,solver_id,prec_id,status_id,new_time,good_or_bad
26474,2,t3dl_a.mtx,-8626613077991646428,2,4,0,inf,-1
26475,2,t3dl_a.mtx,-8626613077991646428,3,0,-1,inf,-1
26476,2,t3dl_a.mtx,-8626613077991646428,3,1,-1,inf,-1
26477,2,t3dl_a.mtx,-8626613077991646428,3,2,-1,inf,-1
26478,2,t3dl_a.mtx,-8626613077991646428,3,3,-1,inf,-1
26479,2,t3dl_a.mtx,-8626613077991646428,3,4,-1,inf,-1
26480,2,t3dl_a.mtx,-8626613077991646428,4,0,-1,inf,-1
26481,2,t3dl_a.mtx,-8626613077991646428,4,1,-1,inf,-1
26482,2,t3dl_a.mtx,-8626613077991646428,4,2,-1,inf,-1
26483,2,t3dl_a.mtx,-8626613077991646428,4,3,-1,inf,-1
26484,2,t3dl_a.mtx,-8626613077991646428,4,4,-1,inf,-1
26485,2,t3dl_a.mtx,-8626613077991646428,5,0,0,inf,-1
26486,2,t3dl_a.mtx,-8626613077991646428,5,1,0,inf,-1
26487,2,t3dl_a.mtx,-8626613077991646428,5,2,0,inf,-1
26488,2,t3dl_a.mtx,-8626613077991646428,5,3,0,inf,-1
26489,2,t3dl_a.mtx,-8626613077991646428,5,4,0,inf,-1
26490,2,t3dl_a.mtx,-8626613077991646428,6,0,0,inf,-1
26491,2,t3dl_a.mtx,-8626613077991646428,6,1,0,inf,-1
26492,2,t3dl_a.mtx,-8626613077991646428,6,2,0,inf,-1
26493,2,t3dl_a.mtx,-8626613077991646428,6,3,0,inf,-1
26494,2,t3dl_a.mtx,-8626613077991646428,6,4,0,inf,-1
26495,2,t3dl_a.mtx,-8626613077991646428,7,0,1,0.0432701,-1
26496,2,t3dl_a.mtx,-8626613077991646428,7,1,1,0.049052,-1
26497,2,t3dl_a.mtx,-8626613077991646428,7,2,1,0.00617886,1
26498,2,t3dl_a.mtx,-8626613077991646428,7,3,1,0.010998,-1
26499,2,t3dl_a.mtx,-8626613077991646428,7,4,1,0.00565791,1
26500,2,t3dl_a.mtx,-8626613077991646428,8,0,0,inf,-1
26501,2,t3dl_a.mtx,-8626613077991646428,8,1,0,inf,-1
26502,2,t3dl_a.mtx,-8626613077991646428,8,2,0,inf,-1
26503,2,t3dl_a.mtx,-8626613077991646428,8,3,0,inf,-1
26504,2,t3dl_a.mtx,-8626613077991646428,8,4,0,inf,-1
26505,2,t3dl_e.mtx,4502177617927265873,0,0,1,0.00786519,-1
26506,2,t3dl_e.mtx,4502177617927265873,0,1,1,0.00262713,-1
26507,2,t3dl_e.mtx,4502177617927265873,0,2,1,0.000772953,1
26508,2,t3dl_e.mtx,4502177617927265873,0,3,1,0.00239205,-1
26509,2,t3dl_e.mtx,4502177617927265873,0,4,0,inf,-1
26510,2,t3dl_e.mtx,4502177617927265873,1,0,1,0.00779581,-1
26511,2,t3dl_e.mtx,4502177617927265873,1,1,1,0.00322604,-1
26512,2,t3dl_e.mtx,4502177617927265873,1,2,1,0.00125504,-1
26513,2,t3dl_e.mtx,4502177617927265873,1,3,1,0.00279498,-1
26514,2,t3dl_e.mtx,4502177617927265873,1,4,1,0.13625299999999999,-1
26515,2,t3dl_e.mtx,4502177617927265873,2,0,1,0.0653141,-1
26516,2,t3dl_e.mtx,4502177617927265873,2,1,1,0.060724,-1
26517,2,t3dl_e.mtx,4502177617927265873,2,2,1,0.0587611,-1
26518,2,t3dl_e.mtx,4502177617927265873,2,3,1,0.0600779,-1
26519,2,t3dl_e.mtx,4502177617927265873,2,4,1,0.05897090000000001,-1
26520,2,t3dl_e.mtx,4502177617927265873,3,0,1,0.00731611,-1
26521,2,t3dl_e.mtx,4502177617927265873,3,1,1,0.00267792,-1
26522,2,t3dl_e.mtx,4502177617927265873,3,2,1,0.00090909,1
26523,2,t3dl_e.mtx,4502177617927265873,3,3,1,0.00241685,-1
26524,2,t3dl_e.mtx,4502177617927265873,3,4,1,0.0485768,-1
26525,2,t3dl_e.mtx,4502177617927265873,4,0,1,0.00815392,-1
26526,2,t3dl_e.mtx,4502177617927265873,4,1,1,0.00279284,-1
26527,2,t3dl_e.mtx,4502177617927265873,4,2,1,0.0009391310000000001,1
26528,2,t3dl_e.mtx,4502177617927265873,4,3,1,0.00245404,-1
26529,2,t3dl_e.mtx,4502177617927265873,4,4,1,0.0520279,-1
26530,2,t3dl_e.mtx,4502177617927265873,5,0,1,0.00829005,-1
26531,2,t3dl_e.mtx,4502177617927265873,5,1,1,0.00365901,-1
26532,2,t3dl_e.mtx,4502177617927265873,5,2,1,0.00161409,-1
26533,2,t3dl_e.mtx,4502177617927265873,5,3,1,0.00315404,-1
26534,2,t3dl_e.mtx,4502177617927265873,5,4,1,0.124321,-1
26535,2,t3dl_e.mtx,4502177617927265873,6,0,1,0.00724006,-1
26536,2,t3dl_e.mtx,4502177617927265873,6,1,1,0.00316715,-1
26537,2,t3dl_e.mtx,4502177617927265873,6,2,1,0.00135612,-1
26538,2,t3dl_e.mtx,4502177617927265873,6,3,1,0.00280595,-1
26539,2,t3dl_e.mtx,4502177617927265873,6,4,1,0.0792799,-1
26540,2,t3dl_e.mtx,4502177617927265873,7,0,1,0.00757217,-1
26541,2,t3dl_e.mtx,4502177617927265873,7,1,1,0.00313807,-1
26542,2,t3dl_e.mtx,4502177617927265873,7,2,1,0.001297,-1
26543,2,t3dl_e.mtx,4502177617927265873,7,3,1,0.00272298,-1
26544,2,t3dl_e.mtx,4502177617927265873,7,4,1,0.5552189999999999,-1
26545,2,t3dl_e.mtx,4502177617927265873,8,0,1,0.00983691,-1
