,classifier,sampler,np_a,np_b,fold,AUC,time
94,RandomForest,SMOTETomek,1,[2 4 6 8 10 12],2,0.836,4.231
95,RandomForest,SMOTETomek,1,[2 4 6 8 10 12],avg,0.8140000000000001,
96,RandomForest,RandomOverSampler,1,[2 4 6 8 10 12],0,0.8290000000000001,0.56
97,RandomForest,RandomOverSampler,1,[2 4 6 8 10 12],1,0.841,0.499
98,RandomForest,RandomOverSampler,1,[2 4 6 8 10 12],2,0.848,0.505
99,RandomForest,RandomOverSampler,1,[2 4 6 8 10 12],avg,0.8390000000000001,
100,AdaBoost,DummySampler,1,[2 4 6 8 10 12],0,0.8290000000000001,2.166
101,AdaBoost,DummySampler,1,[2 4 6 8 10 12],1,0.843,2.1390000000000002
102,AdaBoost,DummySampler,1,[2 4 6 8 10 12],2,0.8640000000000001,2.125
103,AdaBoost,DummySampler,1,[2 4 6 8 10 12],avg,0.845,
104,AdaBoost,SMOTE,1,[2 4 6 8 10 12],0,0.836,6.611000000000001
105,AdaBoost,SMOTE,1,[2 4 6 8 10 12],1,0.825,7.167999999999999
106,AdaBoost,SMOTE,1,[2 4 6 8 10 12],2,0.807,6.419
107,AdaBoost,SMOTE,1,[2 4 6 8 10 12],avg,0.823,
108,AdaBoost,SMOTEENN,1,[2 4 6 8 10 12],0,0.828,7.985
109,AdaBoost,SMOTEENN,1,[2 4 6 8 10 12],1,0.8270000000000001,7.475
110,AdaBoost,SMOTEENN,1,[2 4 6 8 10 12],2,0.816,8.218
111,AdaBoost,SMOTEENN,1,[2 4 6 8 10 12],avg,0.8240000000000001,
112,AdaBoost,SMOTETomek,1,[2 4 6 8 10 12],0,0.8340000000000001,9.607000000000001
113,AdaBoost,SMOTETomek,1,[2 4 6 8 10 12],1,0.8190000000000001,10.027999999999999
114,AdaBoost,SMOTETomek,1,[2 4 6 8 10 12],2,0.8140000000000001,9.826
115,AdaBoost,SMOTETomek,1,[2 4 6 8 10 12],avg,0.8220000000000001,
116,AdaBoost,RandomOverSampler,1,[2 4 6 8 10 12],0,0.8240000000000001,5.925
117,AdaBoost,RandomOverSampler,1,[2 4 6 8 10 12],1,0.84,5.297000000000001
118,AdaBoost,RandomOverSampler,1,[2 4 6 8 10 12],2,0.85,5.226
119,AdaBoost,RandomOverSampler,1,[2 4 6 8 10 12],avg,0.838,
0,GradientBoosting,DummySampler,[1 2 4 6 8 10 12],1,0,0.955,73.40100000000001
1,GradientBoosting,DummySampler,[1 2 4 6 8 10 12],1,1,0.9490000000000001,74.857
2,GradientBoosting,DummySampler,[1 2 4 6 8 10 12],1,2,0.946,71.27600000000001
3,GradientBoosting,DummySampler,[1 2 4 6 8 10 12],1,avg,0.95,
4,GradientBoosting,SMOTE,[1 2 4 6 8 10 12],1,0,0.948,232.07
5,GradientBoosting,SMOTE,[1 2 4 6 8 10 12],1,1,0.943,230.65
6,GradientBoosting,SMOTE,[1 2 4 6 8 10 12],1,2,0.9259999999999999,219.252
7,GradientBoosting,SMOTE,[1 2 4 6 8 10 12],1,avg,0.9390000000000001,
8,GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],1,0,0.948,241.918
9,GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],1,1,0.9470000000000001,241.797
10,GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],1,2,0.93,239.09099999999998
11,GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],1,avg,0.9420000000000001,
12,GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],1,0,0.946,283.248
13,GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],1,1,0.9440000000000001,283.97700000000003
14,GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],1,2,0.9229999999999999,294.927
15,GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],1,avg,0.938,
16,GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],1,0,0.9690000000000001,205.87099999999998
17,GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],1,1,0.956,216.429
18,GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],1,2,0.948,201.09400000000002
19,GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],1,avg,0.958,
20,RandomForest,DummySampler,[1 2 4 6 8 10 12],1,0,0.943,3.635
21,RandomForest,DummySampler,[1 2 4 6 8 10 12],1,1,0.983,3.2110000000000003
22,RandomForest,DummySampler,[1 2 4 6 8 10 12],1,2,0.983,3.29
23,RandomForest,DummySampler,[1 2 4 6 8 10 12],1,avg,0.97,
24,RandomForest,SMOTE,[1 2 4 6 8 10 12],1,0,0.9420000000000001,13.524000000000001
25,RandomForest,SMOTE,[1 2 4 6 8 10 12],1,1,0.9740000000000001,13.619000000000002
26,RandomForest,SMOTE,[1 2 4 6 8 10 12],1,2,0.983,13.662
27,RandomForest,SMOTE,[1 2 4 6 8 10 12],1,avg,0.966,
28,RandomForest,SMOTEENN,[1 2 4 6 8 10 12],1,0,0.9420000000000001,49.325
29,RandomForest,SMOTEENN,[1 2 4 6 8 10 12],1,1,0.981,44.84
30,RandomForest,SMOTEENN,[1 2 4 6 8 10 12],1,2,0.981,39.010999999999996
31,RandomForest,SMOTEENN,[1 2 4 6 8 10 12],1,avg,0.968,
32,RandomForest,SMOTETomek,[1 2 4 6 8 10 12],1,0,0.9440000000000001,83.861
33,RandomForest,SMOTETomek,[1 2 4 6 8 10 12],1,1,0.978,61.354
34,RandomForest,SMOTETomek,[1 2 4 6 8 10 12],1,2,0.983,87.63600000000001
35,RandomForest,SMOTETomek,[1 2 4 6 8 10 12],1,avg,0.968,
36,RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],1,0,0.9420000000000001,10.66
